action,id,park_code,event,occurs
DELETE,1,,,
DELETE,2,,,
DELETE,3,,,
DELETE,4,,,
DELETE,5,,,
DELETE,6,,,
DELETE,7,,,
DELETE,8,,,
DELETE,9,,,
DELETE,10,,,
DELETE,11,,,
DELETE,12,,,
POST,25,DC,Park Open - Owners,2021-03-01 00:00:00Z
POST,26,DC,Park Open - Guests,2021-03-15 00:00:00Z
POST,27,DC,Park Close - Owners,2021-11-30 00:00:00Z
POST,28,DC,Park Close - Guests,2021-11-15 00:00:00Z
POST,29,PV,Park Open - Owners,2021-03-01 00:00:00Z
POST,30,PV,Park Open - Guests,2021-03-15 00:00:00Z
POST,31,PV,Park Close - Owners,2021-11-30 00:00:00Z
POST,32,PV,Park Close - Guests,2021-11-15 00:00:00Z
POST,33,GA,Park Open - Owners,2021-03-01 00:00:00Z
POST,34,GA,Park Open - Guests,2021-03-15 00:00:00Z
POST,35,GA,Park Close - Owners,2021-11-30 00:00:00Z
POST,36,GA,Park Close - Guests,2021-11-15 00:00:00Z
