action,id,park_code,event,occurs
DELETE,25,,,
DELETE,26,,,
DELETE,27,,,
DELETE,28,,,
DELETE,29,,,
DELETE,30,,,
DELETE,31,,,
DELETE,32,,,
DELETE,33,,,
DELETE,34,,,
DELETE,35,,,
DELETE,36,,,
DELETE,37,,,
DELETE,38,,,
DELETE,39,,,
DELETE,40,,,
POST,57,DC,Park Open - Owners,2023-03-01 00:00:00Z
POST,58,DC,Park Open - Guests,2023-03-15 00:00:00Z
POST,59,DC,Park Close - Owners,2023-11-30 00:00:00Z
POST,60,DC,Park Close - Guests,2023-11-15 00:00:00Z
POST,61,PV,Park Open - Owners,2023-03-01 00:00:00Z
POST,62,PV,Park Open - Guests,2023-03-15 00:00:00Z
POST,63,PV,Park Close - Owners,2023-11-30 00:00:00Z
POST,64,PV,Park Close - Guests,2023-11-15 00:00:00Z
POST,65,GA,Park Open - Owners,2023-03-01 00:00:00Z
POST,66,GA,Park Open - Guests,2023-03-15 00:00:00Z
POST,67,GA,Park Close - Owners,2023-11-30 00:00:00Z
POST,68,GA,Park Close - Guests,2023-11-15 00:00:00Z
POST,69,SK,Park Open - Owners,2023-03-01 00:00:00Z
POST,70,SK,Park Open - Guests,2023-03-15 00:00:00Z
POST,71,SK,Park Close - Owners,2023-11-30 00:00:00Z
POST,72,SK,Park Close - Guests,2023-11-15 00:00:00Z
